continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,days
Asia,Afghanistan,2020-06-20,27878.0,346.0,548.0,2.0,716.1360000000001,8.888,14.077,,,,,38928341,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,172
Europe,Albania,2020-06-20,1838.0,50.0,42.0,3.0,638.682,17.374000000000002,14.594000000000001,,,,,2877800,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,172
Africa,Algeria,2020-06-20,11504.0,119.0,825.0,14.0,262.343,2.714,18.814,,,,,43851043,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,172
Europe,Andorra,2020-06-20,855.0,0.0,52.0,0.0,11065.812,0.0,673.008,,,,,77265,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,172
Africa,Angola,2020-06-20,166.0,11.0,8.0,1.0,5.051,0.335,0.243,,,,,32866268,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,172
North America,Anguilla,2020-06-20,3.0,0.0,0.0,0.0,199.97299999999998,0.0,0.0,,,,,15002,,,,,,,,,,,,,81.88,172
North America,Antigua and Barbuda,2020-06-20,26.0,0.0,3.0,0.0,265.501,0.0,30.635,,,,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,172
South America,Argentina,2020-06-20,39557.0,4018.0,979.0,50.0,875.237,88.902,21.660999999999998,,,,,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,172
Asia,Armenia,2020-06-20,19157.0,459.0,319.0,10.0,6464.896,154.898,107.65299999999999,,,,,2963234,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,172
North America,Aruba,2020-06-20,101.0,0.0,3.0,0.0,945.9939999999999,0.0,28.099,,,,,106766,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,172
Oceania,Australia,2020-06-20,7409.0,18.0,102.0,0.0,290.55,0.706,4.0,,,,,25499881,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,172
Europe,Austria,2020-06-20,17185.0,30.0,688.0,0.0,1908.088,3.3310000000000004,76.39,,,,,9006400,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,172
Asia,Azerbaijan,2020-06-20,11329.0,0.0,139.0,0.0,1117.349,0.0,13.709000000000001,,,,,10139175,119.309,32.4,6.018,3.8710000000000004,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,172
North America,Bahamas,2020-06-20,104.0,0.0,11.0,0.0,264.464,0.0,27.971999999999998,,,,,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,172
