LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,cpi,Flag Codes
IND,CPI,TOT_FOODENRG,IDX2015,M,2020-01,126.24,
IND,CPI,TOT_FOODENRG,IDX2015,M,2020-02,125.47,
IND,CPI,TOT_FOODENRG,IDX2015,M,2020-03,124.71,
IND,CPI,TOT_FOODENRG,IDX2015,M,2020-04,125.85,
IND,CPI,TOT_FOODENRG,IDX2015,M,2020-05,124.94,
ITA,CPI,TOT_FOODENRG,IDX2015,M,2020-01,102.9,
ITA,CPI,TOT_FOODENRG,IDX2015,M,2020-02,102.8,
ITA,CPI,TOT_FOODENRG,IDX2015,M,2020-03,102.9,
ITA,CPI,TOT_FOODENRG,IDX2015,M,2020-04,103,
ITA,CPI,TOT_FOODENRG,IDX2015,M,2020-05,102.8,
ESP,CPI,TOT_FOODENRG,IDX2015,M,2020-01,103.99,
ESP,CPI,TOT_FOODENRG,IDX2015,M,2020-02,103.87,
ESP,CPI,TOT_FOODENRG,IDX2015,M,2020-03,103.47,
ESP,CPI,TOT_FOODENRG,IDX2015,M,2020-04,103.78,
ESP,CPI,TOT_FOODENRG,IDX2015,M,2020-05,103.78,
GBR,CPI,TOT_FOODENRG,IDX2015,M,2020-01,108.3,
GBR,CPI,TOT_FOODENRG,IDX2015,M,2020-02,108.6,
GBR,CPI,TOT_FOODENRG,IDX2015,M,2020-03,108.6,
GBR,CPI,TOT_FOODENRG,IDX2015,M,2020-04,108.6,
GBR,CPI,TOT_FOODENRG,IDX2015,M,2020-05,108.6,
USA,CPI,TOT_FOODENRG,IDX2015,M,2020-01,108.84,
USA,CPI,TOT_FOODENRG,IDX2015,M,2020-02,109.14,
USA,CPI,TOT_FOODENRG,IDX2015,M,2020-03,108.9,
USA,CPI,TOT_FOODENRG,IDX2015,M,2020-04,108.17,
USA,CPI,TOT_FOODENRG,IDX2015,M,2020-05,108.18,
