LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,share_price_value,Flag Codes
IND,SHPRICE,TOT,IDX2015,M,2020-01,151.2,
IND,SHPRICE,TOT,IDX2015,M,2020-02,148.9,
IND,SHPRICE,TOT,IDX2015,M,2020-03,118.5,
IND,SHPRICE,TOT,IDX2015,M,2020-04,112.2,
IND,SHPRICE,TOT,IDX2015,M,2020-05,114.7,
ITA,SHPRICE,TOT,IDX2015,M,2020-01,114.6,
ITA,SHPRICE,TOT,IDX2015,M,2020-02,115.9,
ITA,SHPRICE,TOT,IDX2015,M,2020-03,85.3,
ITA,SHPRICE,TOT,IDX2015,M,2020-04,84.5,
ITA,SHPRICE,TOT,IDX2015,M,2020-05,85.8,
ESP,SHPRICE,TOT,IDX2015,M,2020-01,88.1,
ESP,SHPRICE,TOT,IDX2015,M,2020-02,89.1,
ESP,SHPRICE,TOT,IDX2015,M,2020-03,66,
ESP,SHPRICE,TOT,IDX2015,M,2020-04,62.4,
ESP,SHPRICE,TOT,IDX2015,M,2020-05,62,
GBR,SHPRICE,TOT,IDX2015,M,2020-01,114.6,
GBR,SHPRICE,TOT,IDX2015,M,2020-02,110.9,
GBR,SHPRICE,TOT,IDX2015,M,2020-03,87.1,
GBR,SHPRICE,TOT,IDX2015,M,2020-04,87,
GBR,SHPRICE,TOT,IDX2015,M,2020-05,90.3,
USA,SHPRICE,TOT,IDX2015,M,2020-01,130.9,
USA,SHPRICE,TOT,IDX2015,M,2020-02,128.7,
USA,SHPRICE,TOT,IDX2015,M,2020-03,100.5,
USA,SHPRICE,TOT,IDX2015,M,2020-04,101.8,
USA,SHPRICE,TOT,IDX2015,M,2020-05,105.7,
